,DateTime,Open,High,Low,Close,Volume
1209,20220617  09:30:00,365.52,367.69,365.44,367.035,-1
1210,20220617  09:40:00,367.035,368.685,367.025,368.27,-1
1211,20220617  09:50:00,368.27,369.38,368.065,368.4,-1
1212,20220617  10:00:00,368.4,368.595,366.645,366.87,-1
1213,20220617  10:10:00,366.87,367.465,365.51,365.75,-1
1214,20220617  10:20:00,365.75,365.775,364.12,364.57,-1
1215,20220617  10:30:00,364.57,364.965,362.63,363.695,-1
1216,20220617  10:40:00,363.695,363.96,362.165,362.875,-1
1217,20220617  10:50:00,362.875,363.905,362.55,363.555,-1
1218,20220617  11:00:00,363.555,365.965,362.8,365.94,-1
1219,20220617  11:10:00,365.94,366.76,365.155,366.45,-1
1220,20220617  11:20:00,366.45,366.81,365.025,366.445,-1
1221,20220617  11:30:00,366.445,367.255,365.435,366.035,-1
1222,20220617  11:40:00,366.035,366.67,365.07,365.5,-1
1223,20220617  11:50:00,365.5,365.775,364.435,364.79,-1
1224,20220617  12:00:00,364.79,365.13,364.035,364.79,-1
1225,20220617  12:10:00,364.79,365.995,364.425,365.08,-1
1226,20220617  12:20:00,365.08,366.02,364.875,365.78,-1
1227,20220617  12:30:00,365.78,366.015,365.02,366.01,-1
1228,20220617  12:40:00,366.01,366.235,365.16,366.18,-1
1229,20220617  12:50:00,366.18,366.21,364.98,365.71,-1
1230,20220617  13:00:00,365.71,368.115,365.43,368.015,-1
1231,20220617  13:10:00,368.015,368.755,367.505,368.01,-1
1232,20220617  13:20:00,368.01,368.105,367.07,367.23,-1
1233,20220617  13:30:00,367.23,367.825,366.73,367.28,-1
1234,20220617  13:40:00,367.28,367.845,366.23,366.855,-1
1235,20220617  13:50:00,366.855,367.72,366.815,367.25,-1
1236,20220617  14:00:00,367.25,367.815,367.105,367.67,-1
1237,20220617  14:10:00,367.67,368.52,367.345,368.175,-1
1238,20220617  14:20:00,368.175,368.665,367.685,367.775,-1
1239,20220617  14:30:00,367.775,368.48,366.99,368.48,-1
1240,20220617  14:40:00,368.48,368.995,367.735,367.86,-1
1241,20220617  14:50:00,367.86,367.95,367.09,367.46,-1
1242,20220617  15:00:00,367.46,368.135,367.04,367.09,-1
1243,20220617  15:10:00,367.09,367.195,365.645,366.49,-1
1244,20220617  15:20:00,366.49,368.22,366.435,367.955,-1
1245,20220617  15:30:00,367.955,368.065,366.93,367.805,-1
1246,20220617  15:40:00,367.805,367.805,366.385,366.945,-1
1247,20220617  15:50:00,366.945,367.035,365.705,365.845,-1
1248,20220621  09:30:00,371.85,373.52,371.82,373.425,-1
1249,20220621  09:40:00,373.425,374.11,373.265,373.6,-1
1250,20220621  09:50:00,373.6,374.9,373.355,374.835,-1
1251,20220621  10:00:00,374.835,375.125,374.39,374.615,-1
1252,20220621  10:10:00,374.615,375.14,374.485,374.825,-1
1253,20220621  10:20:00,374.825,375.54,374.555,375.11,-1
1254,20220621  10:30:00,375.11,375.855,374.955,375.495,-1
1255,20220621  10:40:00,375.495,375.945,375.275,375.79,-1
1256,20220621  10:50:00,375.79,376.245,375.735,376.065,-1
1257,20220621  11:00:00,376.065,376.275,375.795,375.95,-1
1258,20220621  11:10:00,375.95,376.015,375.325,375.565,-1
1259,20220621  11:20:00,375.565,375.77,375.095,375.19,-1
1260,20220621  11:30:00,375.19,375.635,374.765,374.81,-1
1261,20220621  11:40:00,374.81,375.135,374.425,374.915,-1
1262,20220621  11:50:00,374.915,375.015,374.205,374.205,-1
1263,20220621  12:00:00,374.205,374.775,374.015,374.14,-1
1264,20220621  12:10:00,374.14,374.66,373.915,374.655,-1
1265,20220621  12:20:00,374.655,374.965,374.335,374.75,-1
1266,20220621  12:30:00,374.75,375.26,374.52,375.105,-1
1267,20220621  12:40:00,375.105,375.245,374.775,375.095,-1
1268,20220621  12:50:00,375.095,375.605,374.975,375.565,-1
1269,20220621  13:00:00,375.565,375.64,375.06,375.49,-1
1270,20220621  13:10:00,375.49,375.935,375.375,375.57,-1
1271,20220621  13:20:00,375.57,375.665,375.18,375.19,-1
1272,20220621  13:30:00,375.19,375.695,375.19,375.225,-1
1273,20220621  13:40:00,375.225,375.395,374.84,375.32,-1
1274,20220621  13:50:00,375.32,375.37,374.735,374.845,-1
1275,20220621  14:00:00,374.845,375.155,374.52,375.085,-1
1276,20220621  14:10:00,375.085,375.395,374.84,375.12,-1
1277,20220621  14:20:00,375.12,375.335,374.855,375.28,-1
1278,20220621  14:30:00,375.28,375.52,374.685,374.865,-1
1279,20220621  14:40:00,374.865,375.575,374.715,375.155,-1
1280,20220621  14:50:00,375.155,376.19,375.125,376.08,-1
1281,20220621  15:00:00,376.08,376.47,375.96,376.28,-1
1282,20220621  15:10:00,376.28,376.525,375.98,376.04,-1
1283,20220621  15:20:00,376.04,376.37,375.705,375.965,-1
1284,20220621  15:30:00,375.965,376.165,375.495,375.64,-1
1285,20220621  15:40:00,375.64,375.785,375.355,375.635,-1
1286,20220621  15:50:00,375.635,376.095,374.675,375.055,-1
1287,20220622  09:30:00,370.63,372.665,370.17,371.615,-1
1288,20220622  09:40:00,371.615,372.845,371.05,372.55,-1
